,Unnamed: 0,red_cube_start,blue_cube_start,yellow_cube_start,green_cube_start,Text Question,block_for_task,cat,other_blocks,red_cube_goal,blue_cube_goal,yellow_cube_goal,green_cube_goal,observation
1,1,"(0.15, 0.4, 0.02)","(-0.3, 0.55, 0.02)","(0.3, 0.55, 0.02)","(0.0, 0.25, 0.02)",Take the block that is coloured associated with war and place it at [-0.15  0.55],0,0,,"(-0.15, 0.55, 0.02)","(-0.3, 0.55, 0.02)","(0.3, 0.55, 0.02)","(0.0, 0.25, 0.02)","*** Observation *** 
Here is the initial position of each block and the end effector: 
Red Cube: (0.15, 0.4)
Green Cube: (0.0, 0.25)
Blue Cube: (-0.3, 0.55)
Yellow Cube: (0.3, 0.55)
End Effector: (0, 0.25)
Note - the arm itself is at 0,0. Assume that the x-axis determines left and right and the y-axis top and bottom."
2,2,"(-0.15, 0.55, 0.02)","(0.0, 0.55, 0.02)","(0.3, 0.25, 0.02)","(-0.3, 0.4, 0.02)","Take the block that is (0.15, 0.0) from the red block and place it at [0.15 0.25]",1,0,,"(-0.15, 0.55, 0.02)","(0.15, 0.25, 0.02)","(0.3, 0.25, 0.02)","(-0.3, 0.4, 0.02)","*** Observation *** 
Here is the initial position of each block and the end effector: 
Red Cube: (-0.15, 0.55)
Green Cube: (-0.3, 0.4)
Blue Cube: (0.0, 0.55)
Yellow Cube: (0.3, 0.25)
End Effector: (0, 0.25)
Note - the arm itself is at 0,0. Assume that the x-axis determines left and right and the y-axis top and bottom."
4,4,"(-0.15, 0.25, 0.02)","(0.0, 0.55, 0.02)","(-0.3, 0.25, 0.02)","(-0.15, 0.55, 0.02)",Take the block that is coloured the colour of Mars and place it at [-0.15  0.4 ],0,0,,"(-0.15, 0.4, 0.02)","(0.0, 0.55, 0.02)","(-0.3, 0.25, 0.02)","(-0.15, 0.55, 0.02)","*** Observation *** 
Here is the initial position of each block and the end effector: 
Red Cube: (-0.15, 0.25)
Green Cube: (-0.15, 0.55)
Blue Cube: (0.0, 0.55)
Yellow Cube: (-0.3, 0.25)
End Effector: (0, 0.25)
Note - the arm itself is at 0,0. Assume that the x-axis determines left and right and the y-axis top and bottom."
5,5,"(0.0, 0.25, 0.02)","(-0.3, 0.4, 0.02)","(-0.15, 0.25, 0.02)","(-0.3, 0.25, 0.02)",Take the block that is coloured sky-coloured and place it at [0.15 0.4 ],1,0,,"(0.0, 0.25, 0.02)","(0.15, 0.4, 0.02)","(-0.15, 0.25, 0.02)","(-0.3, 0.25, 0.02)","*** Observation *** 
Here is the initial position of each block and the end effector: 
Red Cube: (0.0, 0.25)
Green Cube: (-0.3, 0.25)
Blue Cube: (-0.3, 0.4)
Yellow Cube: (-0.15, 0.25)
End Effector: (0, 0.25)
Note - the arm itself is at 0,0. Assume that the x-axis determines left and right and the y-axis top and bottom."
6,6,"(0.0, 0.4, 0.02)","(0.3, 0.25, 0.02)","(-0.15, 0.55, 0.02)","(-0.15, 0.4, 0.02)",Take the block that is coloured navy and place it at [0.15 0.55],1,0,,"(0.0, 0.4, 0.02)","(0.15, 0.55, 0.02)","(-0.15, 0.55, 0.02)","(-0.15, 0.4, 0.02)","*** Observation *** 
Here is the initial position of each block and the end effector: 
Red Cube: (0.0, 0.4)
Green Cube: (-0.15, 0.4)
Blue Cube: (0.3, 0.25)
Yellow Cube: (-0.15, 0.55)
End Effector: (0, 0.25)
Note - the arm itself is at 0,0. Assume that the x-axis determines left and right and the y-axis top and bottom."
8,8,"(0.15, 0.4, 0.02)","(-0.15, 0.55, 0.02)","(0.15, 0.55, 0.02)","(-0.15, 0.25, 0.02)","Take the block that is coloured the police-coloured one and place it between the blocks that are coloured green and (0.0, -0.15) from the yellow block",1,2,[3 0],"(0.15, 0.4, 0.02)","(0.3, 0.25, 0.02)","(0.15, 0.55, 0.02)","(-0.15, 0.25, 0.02)","*** Observation *** 
Here is the initial position of each block and the end effector: 
Red Cube: (0.15, 0.4)
Green Cube: (-0.15, 0.25)
Blue Cube: (-0.15, 0.55)
Yellow Cube: (0.15, 0.55)
End Effector: (0, 0.25)
Note - the arm itself is at 0,0. Assume that the x-axis determines left and right and the y-axis top and bottom."
9,9,"(-0.3, 0.25, 0.02)","(0.15, 0.25, 0.02)","(0.3, 0.25, 0.02)","(-0.15, 0.55, 0.02)",Take the block that is coloured associated with war and place it between the blocks that are highest and coloured sapphire,0,2,[3 1],"(-0.0, 0.4, 0.02)","(0.15, 0.25, 0.02)","(0.3, 0.25, 0.02)","(-0.15, 0.55, 0.02)","*** Observation *** 
Here is the initial position of each block and the end effector: 
Red Cube: (-0.3, 0.25)
Green Cube: (-0.15, 0.55)
Blue Cube: (0.15, 0.25)
Yellow Cube: (0.3, 0.25)
End Effector: (0, 0.25)
Note - the arm itself is at 0,0. Assume that the x-axis determines left and right and the y-axis top and bottom."
11,11,"(-0.15, 0.4, 0.02)","(0.15, 0.55, 0.02)","(0.15, 0.4, 0.02)","(0.15, 0.25, 0.02)",Take the block that is leftmost and place it at [0.3 0.4],0,0,,"(0.3, 0.4, 0.02)","(0.15, 0.55, 0.02)","(0.15, 0.4, 0.02)","(0.15, 0.25, 0.02)","*** Observation *** 
Here is the initial position of each block and the end effector: 
Red Cube: (-0.15, 0.4)
Green Cube: (0.15, 0.25)
Blue Cube: (0.15, 0.55)
Yellow Cube: (0.15, 0.4)
End Effector: (0, 0.25)
Note - the arm itself is at 0,0. Assume that the x-axis determines left and right and the y-axis top and bottom."
13,13,"(0.3, 0.25, 0.02)","(-0.15, 0.55, 0.02)","(-0.15, 0.25, 0.02)","(-0.3, 0.55, 0.02)","Take the block that is coloured the color of warning signs and place it 0.0 horizontally and -0.15 vertically relative to the block that is (0.0, 0.3) from the yellow block",2,1,1,"(0.3, 0.25, 0.02)","(-0.15, 0.55, 0.02)","(-0.15, 0.4, 0.02)","(-0.3, 0.55, 0.02)","*** Observation *** 
Here is the initial position of each block and the end effector: 
Red Cube: (0.3, 0.25)
Green Cube: (-0.3, 0.55)
Blue Cube: (-0.15, 0.55)
Yellow Cube: (-0.15, 0.25)
End Effector: (0, 0.25)
Note - the arm itself is at 0,0. Assume that the x-axis determines left and right and the y-axis top and bottom."
16,16,"(-0.15, 0.4, 0.02)","(0.0, 0.55, 0.02)","(0.0, 0.25, 0.02)","(0.15, 0.4, 0.02)",Take the block that is coloured green and place it at [0.3  0.55],3,0,,"(-0.15, 0.4, 0.02)","(0.0, 0.55, 0.02)","(0.0, 0.25, 0.02)","(0.3, 0.55, 0.02)","*** Observation *** 
Here is the initial position of each block and the end effector: 
Red Cube: (-0.15, 0.4)
Green Cube: (0.15, 0.4)
Blue Cube: (0.0, 0.55)
Yellow Cube: (0.0, 0.25)
End Effector: (0, 0.25)
Note - the arm itself is at 0,0. Assume that the x-axis determines left and right and the y-axis top and bottom."
